OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
22,0223,223.0,DESOTO,0223,516,377,0.73062,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1895934.140625,5824.66931287981
23,0526,526.0,MOHAWK,0526,450,300,0.666666,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3471209.8515625,8067.19269356092
24,0637,637.0,PHELPS,0637,472,314,0.665254,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3628973.1171875,7652.98221136049
25,0047,47.0,AZTEC SPRINGS,0047,1077,759,0.704735,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6531196.4609375,13510.2098319092
26,0930,930.0,YOUNGTOWN,0930,788,454,0.576142,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5644623.2578125,14355.1966564837
27,0902,902.0,WESTWORLD,0902,1473,1217,0.826205,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15490180.8828125,16623.7309388096
28,0881,881.0,WACKER PARK,0881,603,445,0.737976,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3065823.546875,8747.81285084838
29,0394,394.0,INDIAN SPRINGS,0394,1278,709,0.554773,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2876912.73828125,7754.69698928783
30,0836,836.0,TIGER MOUNTAIN,0836,365,342,0.936986,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9630982.046875,14459.6741121595
31,0385,385.0,HOPI,0385,565,474,0.838938,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4749096.0390625,10804.7364142
32,0686,686.0,RIATA,0686,513,344,0.670565,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3354257.88671875,9295.37811358657
33,0252,252.0,EDISON,0252,867,486,0.560553,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4016135.7578125,9681.76295905044
34,0127,127.0,CHOLLA,0127,1286,701,0.545101,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638265.921875,9637.08644365046
35,0583,583.0,OASIS,0583,545,346,0.634862,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5461408.30859375,9514.56350888604
36,0089,89.0,CACTUS WREN,0089,279,118,0.422939,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1849288.9765625,5735.18122308826
37,0767,767.0,SOLCITO,0767,445,403,0.905617,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1877962.43359375,5813.64188478238
38,0210,210.0,DESERT HARBOR,0210,1013,741,0.73149,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6655250.796875,11227.5158115737
39,0498,498.0,MAYBERRY,0498,800,669,0.83625,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14457162.8125,20116.9533923131
40,0755,755.0,SIERRA PASS,0755,1253,1014,0.809257,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11752838.4570313,18723.2958917343
41,0753,753.0,SIERRA HILLS,0753,796,637,0.800251,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25391042.6601563,28528.1925215895
42,0546,546.0,NEELY,0546,234,159,0.679487,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1866673.5546875,5794.39746117938
43,0260,260.0,EMMETT,0260,841,561,0.667063,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638815.1875,10106.8873251485
44,0794,794.0,SUMMERSIDE,0794,949,666,0.701791,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,18795600.3007813,23203.2508483231
45,0337,337.0,GREENWAY,0337,928,622,0.670258,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5333411.9140625,11890.0327358016
46,0249,249.0,EASTRIDGE,0249,635,400,0.629921,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8998089.60546875,14930.317503827
47,0922,922.0,WINDMILL,0922,612,453,0.740196,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1887395.0390625,5831.19876321056
48,0011,11.0,ALAMO,0011,996,644,0.646586,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3748679.31640625,7756.22282604278
49,0164,164.0,CORDONIZ,0164,1039,562,0.540904,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6694619.6484375,12141.0793275829
50,0509,509.0,MERCER,0509,548,298,0.543795,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3738158.15625,7734.46529675837
51,0027,27.0,APOLLO,0027,206,161,0.781553,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1876043.44921875,8837.36780783454
52,0240,240.0,DUBLIN,0240,864,529,0.612268,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3729097.76953125,9666.54699839044
53,0073,73.0,BONANZA,0073,442,386,0.873303,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5844688.4296875,10543.4120155823
54,0006,6.0,AGRITOPIA,0006,607,421,0.693574,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2828921.2109375,8728.03505448905
55,0914,914.0,WILDFLOWER,0914,1283,739,0.575993,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10116621.5039063,14291.7158859152
56,0673,673.0,RANCHO MIRAGE,0673,1338,657,0.491031,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5648344.3515625,9700.54217694578
57,0378,378.0,HOLLIS,0378,1081,740,0.684551,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3735980.69140625,9713.34301193268
58,0054,54.0,BEARDSLEY,0054,972,713,0.733539,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10950475.1992188,15448.4088670866
59,0257,257.0,ELLSWORTH PARK,0257,571,275,0.481611,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3062924.87890625,7406.58047210356
60,0890,890.0,WENDY,0890,461,321,0.696312,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1898368.546875,7149.51992022839
61,0487,487.0,MARBLE CREEK,0487,139,44,0.316546,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3776186.08984375,7764.018158403
62,0628,628.0,PECOS,0628,837,711,0.849462,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2783893.19921875,7683.96819918274
63,0032,32.0,ARENA,0032,41,28,0.682926,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9872138.12890625,15760.0744037132
64,0348,348.0,HAPPY TRAILS,0348,187,160,0.855614,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2320609.02734375,6375.06781808491
65,0667,667.0,QUAIL RUN,0667,839,640,0.762812,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2742045.97265625,7115.40671460371
66,0424,424.0,KOKOPELLI,0424,1503,998,0.664005,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5225004.22265625,11494.9065917713
67,0754,754.0,SIERRA MADRE,0754,780,566,0.725641,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3714849.47265625,7709.57094165889
68,0233,233.0,DOVE,0233,1061,499,0.470311,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15200910.1054688,15717.7907241895
69,0034,34.0,ARROWHEAD RANCH,0034,466,365,0.783261,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1976392.91796875,5908.6218890256
70,0456,456.0,LOBO,0456,618,417,0.674757,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3728432.1328125,7725.0505082975
71,0411,411.0,JUNIPER,0411,333,202,0.606606,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1829707.234375,5769.57533216313
72,0280,280.0,FENIMORE,0280,909,694,0.763476,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,17064335.265625,20765.2376305154
73,0878,878.0,VISTA VERDE,0878,47,35,0.74468,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,82874407.8945313,44205.0900687042
74,0834,834.0,TIERRA MADRE,0834,627,459,0.732057,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10751234.796875,16342.3971517231
75,0787,787.0,STARDUST,0787,295,262,0.888135,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6445603.4765625,11537.4019962418
76,0056,56.0,BERYL,0056,504,325,0.644841,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1852011.109375,5772.719641738
77,0172,172.0,COTTON LANE,0172,353,260,0.736543,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,27398039.9921875,22445.2825359406
78,0534,534.0,MOON VALLEY,0534,686,560,0.816326,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6496051.203125,10447.1933251138
79,0235,235.0,DOVER,0235,534,452,0.846441,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1569508.38671875,5296.03349323779
80,0647,647.0,PINTO,0647,926,747,0.806695,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5440350.890625,10682.2906048217
81,0168,168.0,CORRINE,0168,644,459,0.712732,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744325.109375,7764.69036866376
82,0735,735.0,SARATOGA,0735,584,517,0.885273,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2281642.65625,6409.90574944427
83,0372,372.0,HILLERY,0372,563,460,0.817051,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3726255.640625,7693.76217447228
84,0845,845.0,TRADITIONS,0845,616,491,0.797077,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4045727.58203125,8318.7549948484
85,0927,927.0,WOODGLEN,0927,1133,844,0.744924,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6905690.48828125,13277.0605476507
86,0434,434.0,LAREDO,0434,982,707,0.719959,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3881787.171875,8017.93670559665
87,0111,111.0,CARRIAGE LANE,0111,958,696,0.726513,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4197116.16796875,11197.3005229834
88,0038,38.0,ASPEN,0038,256,166,0.648437,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1984917.71875,6244.92656863793
89,0175,175.0,COUNTRY GABLES,0175,307,181,0.589576,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2200266.578125,6377.30363643022
90,0624,624.0,PEACH TREE,0624,990,837,0.845454,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7466610.51171875,11579.2077519176
91,0314,314.0,GILA BEND,0314,138,77,0.557971,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1064681350.04297,224927.209112363
92,0118,118.0,CENTENNIAL,0118,494,289,0.58502,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3722787.25390625,9646.73018634133
93,0078,78.0,BRONCO,0078,676,568,0.840236,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14596705.7382813,15287.7990580415
94,0925,925.0,WOLF RUN,0925,665,569,0.855639,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10889490.6992188,17816.0291743457
95,0026,26.0,APACHE WELLS,0026,1024,809,0.790039,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11171172.5273438,15437.4040372475
96,0911,911.0,WIGWAM CREEK,0911,852,577,0.67723,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5396383.05859375,14313.1071008614
97,0266,266.0,ESCALANTE,0266,1304,779,0.597392,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3702616.80078125,7677.3552091309
98,0165,165.0,CORDOVA,0165,386,191,0.494818,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2334715.46484375,6768.69545605381
99,0017,17.0,ALTADENA,0017,278,190,0.683453,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3508035.9375,7502.30958975723
100,0439,439.0,LASSEN,0439,1479,846,0.572008,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6730381.58984375,15562.7838904336
101,0302,302.0,GARDNER,0302,690,486,0.704347,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5320095.26171875,11795.7572248626
102,0752,752.0,SHEFFIELD,0752,112,77,0.6875,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4935434.9296875,11588.1069939011
103,0595,595.0,ORME,0595,1478,767,0.518944,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8650259.51171875,11956.6352461246
104,0454,454.0,LISBON,0454,803,473,0.589041,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744170.21484375,7738.83710701192
105,0155,155.0,CONCORD,0155,553,403,0.728752,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867562.56640625,5796.90158470975
106,0293,293.0,FRANKLIN,0293,630,374,0.59365,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3618798.21484375,7501.89499406508
107,0222,222.0,DESERT VISTA,0222,564,404,0.716312,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2598696.88671875,8122.74522476132
108,0550,550.0,NORTERRA,0550,878,665,0.757403,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,57659686.2265625,32616.7824931392
109,0336,336.0,GREENFIELD PARK,0336,1177,805,0.683942,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7284002.2265625,11359.9988977211
110,0733,733.0,SANTAN,0733,123,75,0.609756,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4884034.14453125,11961.4572979512
111,0590,590.0,ORANGE TREE,0590,301,232,0.770764,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4594442.61328125,9636.25319881284
112,0897,897.0,WESTGREEN PARK,0897,800,519,0.64875,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3178308.08203125,8719.89457062792
113,0541,541.0,MUMMY MOUNTAIN,0541,1057,831,0.786187,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5297067.34375,11705.0158049709
114,0795,795.0,SUMMERSTAR,0795,318,281,0.883647,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2687893.33984375,7537.42298909282
115,0880,880.0,VOGEL,0880,1161,731,0.629629,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5606762.5546875,10846.0094932227
116,0852,852.0,TUCKEY,0852,376,169,0.449468,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305324.0234375,7117.6216910919
117,0467,467.0,LOOKOUT RIDGE,0467,740,635,0.858108,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11492148.6523438,18447.7976568075
118,0018,18.0,ALVARADO,0018,593,309,0.521079,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4500712.01171875,9117.46789587639
119,0640,640.0,PILGRIM,0640,1458,1002,0.687242,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6555527.78515625,11302.7462005478
120,0442,442.0,LAVEEN MEADOWS,0442,934,541,0.579229,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4992543.0546875,9126.76790124747
121,0797,797.0,SUN CITY,0797,705,598,0.848226,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5026034.39453125,13068.7413796702
122,0146,146.0,COLDWATER RIDGE,0146,1388,675,0.486311,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6159233.765625,10968.320327682
123,0091,91.0,CALAVAR,0091,394,275,0.697969,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1495197.58984375,5672.36689070803
124,0623,623.0,PAYNE,0623,124,87,0.701612,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3704193.30859375,7575.4183804252
125,0662,662.0,PRINCESS,0662,402,284,0.706467,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9957599.21484375,13085.4975475625
126,0297,297.0,FRONTIER,0297,1137,826,0.726473,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9912432.80859375,17909.1559522368
127,0870,870.0,VERRADO,0870,734,478,0.651226,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11911878.03125,14470.3311862501
128,0933,933.0,YUKON,0933,349,286,0.819484,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2717358.359375,7304.51256515998
129,0422,422.0,KLEINMAN,0422,1398,745,0.532904,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6296697.47265625,11461.650262684
130,0077,77.0,BREWER,0077,637,420,0.65934,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7636795.44140625,12478.8876281277
131,0052,52.0,BARNEY,0052,533,322,0.604127,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3656186.546875,7648.06399679983
132,0908,908.0,WICKENBURG,0908,630,490,0.777777,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1066978731.33984,183130.320473874
133,0709,709.0,ROTARY PARK,0709,1076,768,0.713754,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3701623.92578125,9559.57833410354
134,0770,770.0,SOSSAMAN,0770,697,470,0.674318,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9007570.0859375,13043.9406058567
135,0335,335.0,GREENFIELD,0335,1265,729,0.576284,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3772050.6875,7791.31909978302
136,0810,810.0,SUNLAND VILLAGE,0810,1141,844,0.739702,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7328123.2421875,11471.2544152495
137,0138,138.0,CLIFFVIEW,0138,653,570,0.872894,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2125892.21875,6755.14695121037
138,0533,533.0,MONTOYA,0533,829,602,0.726176,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,12041028.2890625,15470.2882389953
139,0183,183.0,CREIGHTON,0183,1455,878,0.603436,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4581814.8828125,9544.7940311759
