OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
1,0159,COPPER HILLS,2244,1686,0.751336,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4668065.8515625,9664.04288822313
2,0374,HILTON,739,375,0.507442,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11971797.4414063,19833.5857144812
3,0926,WOOD,2575,1380,0.535922,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3727548.69921875,7721.70712170273
4,0244,DUSTY TRAIL,2496,1403,0.562099,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10543453.5351563,18814.2802068415
5,0259,EMERALD,2130,1803,0.846478,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4126054.22265625,9019.97436307405
6,0136,CLEARVIEW,2780,1933,0.695323,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3758212.9296875,7775.87557228059
7,0789,STELLA,1605,744,0.463551,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2365765.6640625,6815.87340104468
8,0151,COMET,2590,1524,0.588416,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3544831.7578125,9708.37631427825
9,0231,DOS RIOS,1741,759,0.435956,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7329239.671875,11442.3965767156
10,0931,YUCATAN,1338,790,0.590433,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7405460.20703125,11529.0266888141
11,0928,XAVIER,1870,1183,0.63262,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2700002.31640625,7907.12364841616
12,0657,PORTLAND,1187,546,0.459983,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4975860.80078125,9123.96792272197
13,0677,REDDEN,1452,960,0.661157,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1824451.2421875,5757.89273018987
14,0493,MARLETTE,3074,2201,0.716005,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710838.37890625,7705.50612570762
15,0619,PARK MEADOWS,1052,784,0.745247,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3784533.35546875,7783.79432897985
16,0651,POINSETTIA,777,498,0.640926,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1511688.41796875,5748.01215679501
17,0323,GOLDEN,1751,1062,0.60651,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3761986.3203125,7758.59132530281
18,0531,MONTEBELLO,1404,608,0.433048,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305827.0859375,7637.22185797868
19,0064,BLACK GOLD,2185,1893,0.866361,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4820192.7578125,9709.44621914566
20,0482,MAGIC STONE,4321,2910,0.673455,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6537973.75390625,10653.3142919453
21,0842,TORTILLA FLAT,9,5,0.555555,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1314208887.64453,197076.137357689
22,0145,COLBY,905,662,0.731491,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2900843.02734375,7153.23503326631
23,0223,DESOTO,1460,949,0.65,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1895934.140625,5824.66931287981
24,0526,MOHAWK,1621,865,0.533621,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3471209.8515625,8067.19269356092
25,0637,PHELPS,1748,979,0.560068,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3628973.1171875,7652.98221136049
26,0047,AZTEC SPRINGS,3451,2238,0.648507,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6531196.4609375,13510.2098319092
27,0930,YOUNGTOWN,2264,1171,0.517226,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5644623.2578125,14355.1966564837
28,0902,WESTWORLD,5183,3831,0.739147,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15490180.8828125,16623.7309388096
29,0881,WACKER PARK,2182,1430,0.655362,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3065823.546875,8747.81285084838
30,0394,INDIAN SPRINGS,2998,1417,0.472648,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2876912.73828125,7754.69698928783
31,0836,TIGER MOUNTAIN,1511,1365,0.903375,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9630982.046875,14459.6741121595
32,0385,HOPI,2163,1717,0.793804,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4749096.0390625,10804.7364142
33,0686,RIATA,1650,971,0.588484,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3354257.88671875,9295.37811358657
34,0252,EDISON,1574,757,0.48094,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4016135.7578125,9681.76295905044
35,0127,CHOLLA,3149,1527,0.484915,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638265.921875,9637.08644365046
36,0583,OASIS,1950,1130,0.579487,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5461408.30859375,9514.56350888604
37,0089,CACTUS WREN,647,244,0.377125,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1849288.9765625,5735.18122308826
38,0767,SOLCITO,1153,961,0.833477,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1877962.43359375,5813.64188478238
39,0210,DESERT HARBOR,3445,2352,0.682728,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6655250.796875,11227.5158115737
40,0498,MAYBERRY,3204,2529,0.789325,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14457162.8125,20116.9533923131
41,0755,SIERRA PASS,4021,2908,0.723203,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11752838.4570313,18723.2958917343
42,0753,SIERRA HILLS,2911,2198,0.755066,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25391042.6601563,28528.1925215895
43,0546,NEELY,685,429,0.626277,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1866673.5546875,5794.39746117938
44,0260,EMMETT,2415,1437,0.595031,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638815.1875,10106.8873251485
45,0794,SUMMERSIDE,2171,1474,0.678949,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,18795600.3007813,23203.2508483231
46,0337,GREENWAY,2786,1720,0.617372,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5333411.9140625,11890.0327358016
47,0249,EASTRIDGE,2391,1343,0.561689,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8998089.60546875,14930.317503827
48,0922,WINDMILL,1658,1094,0.659831,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1887395.0390625,5831.19876321056
49,0011,ALAMO,2560,1514,0.591406,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3748679.31640625,7756.22282604278
50,0164,CORDONIZ,2313,1111,0.480328,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6694619.6484375,12141.0793275829
51,0509,MERCER,1962,1010,0.51478,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3738158.15625,7734.46529675837
52,0027,APOLLO,606,434,0.716171,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1876043.44921875,8837.36780783454
53,0240,DUBLIN,2276,1307,0.574253,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3729097.76953125,9666.54699839044
54,0073,BONANZA,1584,1345,0.849116,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5844688.4296875,10543.4120155823
55,0006,AGRITOPIA,2075,1256,0.605301,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2828921.2109375,8728.03505448905
56,0914,WILDFLOWER,3457,1753,0.507087,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10116621.5039063,14291.7158859152
57,0673,RANCHO MIRAGE,3738,1739,0.465222,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5648344.3515625,9700.54217694578
58,0378,HOLLIS,2518,1500,0.59571,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3735980.69140625,9713.34301193268
59,0054,BEARDSLEY,3641,2567,0.705026,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10950475.1992188,15448.4088670866
60,0257,ELLSWORTH PARK,1673,777,0.464435,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3062924.87890625,7406.58047210356
61,0890,WENDY,1307,851,0.651109,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1898368.546875,7149.51992022839
62,0487,MARBLE CREEK,305,85,0.278688,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3776186.08984375,7764.018158403
63,0628,PECOS,2419,1973,0.815626,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2783893.19921875,7683.96819918274
64,0032,ARENA,168,115,0.684523,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9872138.12890625,15760.0744037132
65,0348,HAPPY TRAILS,836,706,0.844497,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2320609.02734375,6375.06781808491
66,0667,QUAIL RUN,2652,1803,0.679864,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2742045.97265625,7115.40671460371
67,0424,KOKOPELLI,3765,2334,0.61992,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5225004.22265625,11494.9065917713
68,0754,SIERRA MADRE,2630,1820,0.692015,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3714849.47265625,7709.57094165889
69,0233,DOVE,2839,1236,0.435364,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15200910.1054688,15717.7907241895
70,0034,ARROWHEAD RANCH,1526,1048,0.686762,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1976392.91796875,5908.6218890256
71,0456,LOBO,2439,1449,0.594095,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3728432.1328125,7725.0505082975
72,0411,JUNIPER,1157,640,0.553154,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1829707.234375,5769.57533216313
73,0280,FENIMORE,4497,3061,0.680676,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,17064335.265625,20765.2376305154
74,0878,VISTA VERDE,336,251,0.747023,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,82874407.8945313,44205.0900687042
75,0834,TIERRA MADRE,2815,1979,0.703019,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10751234.796875,16342.3971517231
76,0787,STARDUST,1110,892,0.803603,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6445603.4765625,11537.4019962418
77,0056,BERYL,1339,747,0.557879,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1852011.109375,5772.719641738
78,0172,COTTON LANE,1687,1218,0.721991,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,27398039.9921875,22445.2825359406
79,0808,SUNFLOWER,8,6,0.75,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,528896091.953125,138257.750791954
80,0534,MOON VALLEY,2306,1799,0.780138,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6496051.203125,10447.1933251138
