OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
37,0089,CACTUS WREN,647,199,0.307573,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1849288.9765625,5735.18122308826
38,0767,SOLCITO,1153,795,0.689505,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1877962.43359375,5813.64188478238
39,0210,DESERT HARBOR,3445,2073,0.601741,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6655250.796875,11227.5158115737
40,0498,MAYBERRY,3204,2373,0.740636,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14457162.8125,20116.9533923131
41,0755,SIERRA PASS,4021,2698,0.670977,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11752838.4570313,18723.2958917343
42,0753,SIERRA HILLS,2911,2126,0.730333,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25391042.6601563,28528.1925215895
43,0546,NEELY,685,313,0.456934,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1866673.5546875,5794.39746117938
44,0260,EMMETT,2415,1200,0.496894,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638815.1875,10106.8873251485
45,0794,SUMMERSIDE,2171,1069,0.492399,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,18795600.3007813,23203.2508483231
46,0337,GREENWAY,2786,1564,0.561378,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5333411.9140625,11890.0327358016
47,0249,EASTRIDGE,2391,1070,0.447511,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8998089.60546875,14930.317503827
48,0922,WINDMILL,1658,965,0.582026,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1887395.0390625,5831.19876321056
49,0011,ALAMO,2560,1160,0.453125,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3748679.31640625,7756.22282604278
50,0164,CORDONIZ,2313,833,0.360138,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6694619.6484375,12141.0793275829
51,0509,MERCER,1962,873,0.444954,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3738158.15625,7734.46529675837
52,0027,APOLLO,606,403,0.665016,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1876043.44921875,8837.36780783454
53,0240,DUBLIN,2276,1099,0.482864,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3729097.76953125,9666.54699839044
54,0073,BONANZA,1584,1245,0.785984,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5844688.4296875,10543.4120155823
55,0006,AGRITOPIA,2075,1029,0.495903,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2828921.2109375,8728.03505448905
56,0914,WILDFLOWER,3457,1459,0.422042,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10116621.5039063,14291.7158859152
57,0673,RANCHO MIRAGE,3738,1439,0.384965,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5648344.3515625,9700.54217694578
58,0378,HOLLIS,2518,1319,0.523828,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3735980.69140625,9713.34301193268
59,0054,BEARDSLEY,3641,2273,0.624279,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10950475.1992188,15448.4088670866
60,0257,ELLSWORTH PARK,1673,586,0.350268,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3062924.87890625,7406.58047210356
61,0890,WENDY,1307,738,0.564651,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1898368.546875,7149.51992022839
62,0487,MARBLE CREEK,305,57,0.186885,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3776186.08984375,7764.018158403
63,0628,PECOS,2419,1708,0.706076,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2783893.19921875,7683.96819918274
64,0032,ARENA,168,94,0.559523,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9872138.12890625,15760.0744037132
65,0348,HAPPY TRAILS,836,610,0.729665,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2320609.02734375,6375.06781808491
66,0667,QUAIL RUN,2652,1623,0.61199,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2742045.97265625,7115.40671460371
67,0424,KOKOPELLI,3765,1963,0.521381,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5225004.22265625,11494.9065917713
